coauthor;frequency
5;2
6;2
7;10
8;28
9;45
10;53
11;35
12;53
13;69
14;43
15;48
16;64
17;52
18;46
19;56
20;52
21;45
22;46
23;42
24;41
25;33
26;29
27;41
28;35
29;33
30;27
31;23
32;30
33;22
34;31
35;20
36;31
37;19
38;23
39;26
40;30
41;18
42;13
43;10
44;10
45;20
46;20
47;19
48;8
49;18
50;11
51;7
52;17
53;9
54;9
55;6
56;7
57;7
58;5
59;2
60;2
61;4
62;10
63;7
64;1
65;3
66;7
67;5
68;2
69;4
70;2
71;5
72;6
73;3
74;1
75;7
76;2
77;3
78;6
79;4
80;1
81;1
82;3
83;3
84;4
86;4
87;4
88;3
89;3
90;2
93;1
94;3
95;2
97;2
98;1
99;2
100;2
101;2
102;1
103;2
104;2
105;2
106;1
107;1
109;1
110;1
111;1
117;1
118;1
122;1
123;1
125;1
127;1
130;1
133;1
144;2
145;1
152;1
160;1
245;1
