CORBETT8, JD
WALSH6, CT
KHODAYARI, A
ALFORD, TL
HENGLEIN, A
COUSENS, S
RUDI, K
GESSLER, C
ZUNGER, A
HEINTZ, A
LAMBERS, H
KNEE, JL
STAFILOV, T
PFALLER, MA
GOODHEAD, DT
ASCH, SM
CHAISSON, RE
WESEMANN, L
PHILIPPS, V
DELENCASTRE, H
TAPPONNIER, P
PUGLIA, AM
MIASKOWSKI, C
KIM11, K
SOUCEK, MD
WRIGHT3, TG
NIELSEN1, EM
ZWARENSTEIN, M
BIGGAR, RJ
STRELKOV, SV
MATZGER, AJ
LIPUMA, JJ
KRESSLER, J
NATHANSON, GM
STEINBUCHEL, A
BHONDE, RR
KANG, ET
MARSHALL2, AG
BU3, XH
BARTELL, LS
MITELMAN, F
SHINKAI, S
OSTRIKOV, K
WANG17, CY
GARCIA1, H
LARSEN2, G
KUMACHEVA, E
YANG1, DR
D'AURIA, L
FUKIN, GK
RU, BG
MCGRATH, G
JIANG3, Q
YAGHI, OM
KINOSHITA3, M
KELTON1, KF
KAHNG, SJ
BAY, S
UCHIHARA, T
OREL, B
STEHLE, T
KRESS, JD
STAIR, PC
LEE3, CT
ELBOURNE, D
FRIESNER, RA
SANTOLIK, O
KIZUKA, T
JAKUBEK, J
MURUGARAJ, P
VEDRINE, JC
ZHOU2, XW
RATTEI, T
SPROVIERI, M
VANELSAS, JD
TRYGGVASON, K
PAULIN, L
CATARA, F
OESTERHELT, D
CHAUDHARI, A
HATANAKA1, Y
CHIVERS, T
HARRIMAN, A
EICHLER1, EE
MARINACCI, C
ISHIMASA, T
KELLEY2, DF
DANILOV, VI
ARCHIBONG, EF
SHAO, XG
HERNDL, GJ
KOBAYASHI8, M
RAY6, AK
VANCANNEYT, M
ZANCOPEOLIVEIRA, RM
MORBIDELLI, M
BALLUTAUD, D
AYYUB, P
MARKS1, TJ
URBAN1, FK
VUILLEUMIER, R
MCELVANY, SW
LU1, JM
HERMAN2, M
GARDELLA, JA
DEVUYST, L
ESHTIAGHHOSSEINI, H
UKOUMUNNE, OC
GOSLAR, J
WEINER2, JH
MOON, BK
SAMPATH, S
RATNER4, MA
LUDASCHER, B
DOWD, SE
JANG3, DJ
ORTIZ1, JV
ANDROULAKIS, IP
TANG2, BZ
WIEDENBECK, M
WILSON, AK
ESUMI, K
HARMER2, J
VERSTRAETE, W
CROITORU, N
SCORRANO, G
MCEVER, RP
OLESHKO, VP
COFFER, JL
TAO5, FM
CHANGCHIEN, GP
KASSAB, E
HOUSER, RP
KANG, JY
LUTHER, GW
WEGSCHEIDER, K
DOBRINDT, U
CAI, WS
CHANG4, JR
RICCIARDICASTAGNOLI, P
GENGA, A
KAMAGATA, Y
ZHU8, JJ
PREISSER, JS
GRATZEL, M
DENG1, YQ
COLLINS, LR
ANGELESCHAVEZ, C
CAO1, XB
DIJKSHOORN, L
BASIEV, TT
KUBICKI, M
KOOPMANS, M
ERBUDAK, M
MCCLELLAND, M
PASTER, BJ
TAO2, WK
EFFERTH, T
LOKHANDE, CD
SZECSENYI, J
LACHGAR, A
CHAKER, M
GOICOECHEA, JM
WISTOW, G
ALEXANDER3, MH
MARUHN, JA
HEMLEY, RJ
PUJARI, PK
NAISMITH, JH
MORAIS2, PC
MULLER2, R
POPELIER, PLA
HERMAN1, M
GRIMME, S
GOODACRE, R
VOSTRIKOV, AA
XU1, YB
ROSENBLUH, M
SACHER, E
SUO, QL
YAM2, VWW
JUAHIR, H
OPILA, RL
OKU3, T
DISALVO2, FJ
MIRZAEI1, M
JU3, SP
BLAISTENBAROJAS, E
MILCHEV, A
CAO2, PL
RAVAUD, P
SORENSEN2, CM
NIU4, L
LYUBOVSKAYA, RN
BALLONE, P
MOAZZENAHMADI, N
LEE, AF
KLEIBER, PD
NESLADEK, M
FERRARIS, M
HUTTNER, G
NAMPOORI, VPN
TRUBNIKOV, DN
SANCHEZMADRID, F
PRADELL, T
BHARADWAJ, PK
TALWAR, SS
LI29, B
TSAPATSIS, M
GAMBAROTTA, S
SOLIMANNEJAD, M
RUBLOFF, GW
FREYLAND, W
LITOVCHENKO, VG
NEEDS, RJ
ELORANTA, J
HUANG4, HC
LADUCA, RL
COEY, JMD
HINTERDORFER, P
KEISTER, JB
ALLENDORF, MD
WOEBKEN, D
KOFINAS, P
STWALLEY, WC
HAWKINS, AR
LAI, SK
POLANYI, JC
EVANS2, DJ
TOPP, MR
MULLER, WEG
KITRON, U
SHVETS, IV
MARTIN5, F
BEAUCHAMP, JL
TERUKOV, EI
LI1, C
KNOZINGER, E
GACOIN, T
HALONEN, L
BUGIEL, E
LEISINGER, T
LUBY, SP
MCCARTHY, MC
MULLER8, E
MAVRIDIS, A
TANG4, JC
CHANDRASEKHAR1, V
CHECHIK, R
VANSOOLINGEN, D
MUNIZMIRANDA, M
DINH, LN
ARCON, I
SATO27, K
BENJACOB, E
AONO, M
MOOKERJEE, A
JANSEN3, G
ZHU3, ZY
ROBINSON1, BH
PETTERSSON, JBC
SEARSON, PC
DELAMORA, JF
FURLONG, DN
SAIGUSA, H
MOROOKA, Y
YOSHIDA14, T
TSUKRUK, VV
BHADURI2, S
BRNICEVIC, N
OJAMAE, L
KOINUMA, H
HASNAIN, SS
DONG, TY
LIU2, ZF
DESPAX, B
BARNABE, C
JUKES, MCH
SUN1, SQ
TANAKA37, K
CHOI2, WK
REIMERS, JR
MITTLER, S
VAIA, RA
MIZUNO2, N
BRESKIN, A
WANG6, HP
GIRARDET, C
LEE, KP
CAI2, JY
LI7, YD
WILLIAMSON2, DL
WHITTEN4, JL
GALEMBECK, F
LEIVA2, EPM
LAZZARI, R
FROMM, KM
NIBBERING, NMM
TOLAR, P
VANDESANDEN, MCM
BERNDT1, C
KLEEREBEZEM, M
COWERN, NEB
LI15, M
VALI, H
ANDERSON2, PA
BANFIELD, JF
DAFFONCHIO, D
SHI1, XY
WITTIG, C
KROES, GJ
CHATTARAJ, PK
JUG, K
HIRAO13, K
MIHAILESCU, IN
RODRIGUEZ4, MA
CHERGUI, M
SARDAR, R
VOSTOKOV, NV
DUCKETT, SB
CANTERS, GW
SHALABI, AS
SERGEEV, GB
NIERENGARTEN, JF
SCHMID2, M
FLAGAN, RC
LIEBANA, E
BRANDT, U
EVANGELAKIS, GA
BAIA, L
ARNDT2, M
YANG3, JC
LARIA, D
VARGA, P
LEK, S
VOGTLE, F
ARRATIAPEREZ, R
MICKLITZ, H
SMIRNOV5, BM
TIEMANN, M
DATTA2, A
ZHANG6, ZJ
GRAHAM, WRM
RODE, AV
FREELAND, JW
REVAPRASADU, N
SCRIMIN, P
LECLERQ, SC
PEARTON, SJ
FLORKE, U
BLONDEAU, JP
EISELE, FL
SAHU1, SN
LIU3, RS
RAMASESHA, S
YOON, SG
WOHLLEBEN, W
SHIVAPRASAD, SM
SVESHNIKOVA, LL
TILLEY, RD
HESZLER, P
KISS, J
BUREAU, C
BIANCHINI, C
GUSKOS, N
DEWITH, G
RAOULT, D
HAVEL, J
MCVITIE, S
MARKOVIC, NM
SHIN5, JH
SANTUCCI1, S
HOLT, C
OSAKA2, T
KROTSCHECK, E
MEIJERINK, A
ZENOBI, R
DOLL1, JD
CHOI, MMF
PAZ, FAA
GRODZICKI, M
MARQUES, FC
BAGLIONI, P
TSAI2, AP
DIKANOV, SA
NOZAKI, S
BALASUBRAMANIAN6, K
MOCHIDA, I
CLARY, DC
TOMA, HE
DESCHRYVER, FC
PONI, S
TANNENBAUM, R
TRETIAK, S
CHAMPAGNE1, B
VANDENOETELAAR, LCA
VANGRIEKEN, R
HIRAGA, K
FELDMANN, J
ALANISSILA, T
KLABUNDE5, KJ
VALA, M
JANA1, AD
PARK15, JH
FONTECILLACAMPS, JC
KORGEL, BA
MARTIN3, JML
TSONG, TT
ZERBETTO, F
DELEUZE, MS
TANAKA20, M
ICHIYANAGI, Y
GROL, R
BLOOMFIELD, LA
ADAMCHUK, VK
HEJTMANEK, J
WU4, ZJ
SUBRAMANIAN9, V
CHEN36, J
KALITZOVA, M
ROTHENBERG, G
SATHYAMOORTHY, R
WIEDMANN, M
SHAIK, S
DAMJANOVICH, S
ZABEL2, M
MCCARLEY, RE
CHUKANOV, NV
GILLEN, G
ZANDVLIET, HJW
DAGOTTO, E
ZHENG2, YD
LEE15, JY
DAHL2, LF
SIMOEN, E
CHEN4, CL
JAEGERMANN, W
MALERBA, L
CALAWAY, WF
TRALDI, P
SCAZZOCCHIO, C
DEMISHEV, SV
OWEN2, DM
GRIESER, F
SAKABE, S
DAEMEN, LL
ZHANG11, ZY
BARBER1, J
GRITSENKO, VA
BEINERT, H
SOPER, AK
DRABOLD, DA
BERNHOLC, J
SAITO4, N
GERBER3, G
FRICKE, B
SOLDATOV, ES
MANGALARAJ, D
LANDERS, R
KIMURA7, K
KAPLAN2, IG
NIELSEN2, B
VANSANT, EF
VALLETREGI, M
OSSICINI, S
SHAFEEV, GA
BURGHAUS, U
AHMAD4, S
BURKHARDT, JK
HIROTSU1, Y
BORGDORFF, MW
KAGI, JHR
WELLER1, AS
ANDRES3, J
KUBICKI, JD
MARTIN4, TP
BUHRO, WE
PEKOV, IV
BENLAKHDAR, Z
IVANOVOMSKII, VI
HAQ, S
LEE14, D
NOCERA, DG
GALLI3, G
LEE9, HM
MINTOVA, S
CHEN57, J
HARTKE, B
KUGE, K
GUVENC2, ZB
ZHANG2, DJ
WANG7, LC
GRUTZMACHER, D
MAYOR, M
FLYTZANISTEPHANOPOULOS, M
WATANABE9, Y
CONTINETTI, RE
BOTTERO, JY
YAO3, M
BALOOCH, M
TATSUMI, K
KHATRY, SK
FUCHS2, H
LU8, ZH
ITOH, A
WEBER8, T
LANG, ES
TISCH, JWG
GUAY, D
STYRING, S
PATTYN, H
POUCHAN, C
JARROLD, CC
AKAMATSU2, K
WOJCIK, J
HUCH, V
PENADES, S
DEMUNCK, JC
DINOTO, V
VALETSKY, PM
KRISHNAMURTHY3, M
PAPAKONSTANTINOU, P
NAGAYA, K
ZHOU2, CG
ROLO, AG
KLAR3, PJ
LUO1, J
MASUHARA, H
REN5, F
SCHULZE, W
BOLTON2, K
FISHER, KJ
CAMINATI, W
FITTING, HJ
CABRAL, BJC
SVORCIK, V
ZAJFMAN, D
RAVEAU, B
MITZEL, NW
CHIODINI, N
BERTINO, MF
STRITZKER, B
SABBATINI, L
KAWAI4, T
XUE, ZQ
HASLETT, TL
MULLINS, CB
HOLL1, MMB
JIRASKOVA, Y
SANZ, JF
GANEEV, RA
DOMCKE, W
CHOI6, JH
LIU56, J
SOUKIASSIAN, P
HALAS, NJ
CHEN18, L
BALDO, PM
KAPOOR3, S
NITSCHKE, W
PESLHERBE, GH
SHPAK, AP
TROYAN, VI
MENON5, M
LEE6, GH
SHIELDS, GC
CHRISTIANSON, DW
FREEMAN1, DL
JIN2, GX
OLIVER1, A
KHOMUTOV, GB
HALLER6, GL
TOUR, JM
DU2, ZL
ORO, LA
LOZZI, L
LUO3, MF
SHLEEV, S
ISOBE3, K
HUSINSKY, W
KNECHT, S
SACCOROTTI, G
FREEMAN1, AJ
ZVONAREVA, TK
TRENARY, M
DAI4, J
PIGNOLET, LH
ZVEZDIN, AK
DRIESS, M
LIVERI, VT
ARMSTRONG2, WH
JIANG2, CZ
YOU, WS
MROZINSKI, J
MOSTAFA, G
BURCH, R
CEREZO, A
ROY2, PN
GROSSWENDT, B
LIU4, SX
DONGARRA, JJ
MOEWES, A
RAUCHFUSS, TB
BOUFENDI, L
DEKI, S
VIKHNIN, VS
ZHOU1, YL
WAN, CC
SLANINA, Z
CAO3, R
BRAULT, P
AKINAGA, H
SPIESS, HW
STAMM2, M
WANG6, CM
BELYKH, SF
TRONIN, VN
WIESNER, U
LEE3, YP
GUPTA, NM
MORGUNOV, RB
NAGAI2, Y
UGLIENGO, P
RIBOT, F
RAYBAUD, P
GONG1, QH
NIIHARA, K
FARIZON, M
NI, GQ
SREEDHAR, B
DAUTER, Z
ZACHARIAH, MR
MALRIEU, JP
EICEMAN, GA
CUENYA, BR
CABEZA, JA
LI34, W
JIA6, Y
SINGH2, BN
HAINFELD, JF
EBERT2, H
ALEKSENSKII, AE
REHN, LE
TOUROVA, TP
PARIS1, E
BENNEMANN, KH
MOUTINHO, AMC
BOUCHIER, D
CHAN1, SI
GOUGEON, P
CHECHIK, V
FERRARI2, M
SUN7, YP
ESTREICHER, SK
CHABOT, M
SGAMELLOTTI, A
WANG8, CC
XIAO2, FS
KATIYAR, RS
LIAO1, XB
STEGGERDA, JJ
NOODLEMAN, L
STEPANOV1, AL
FARRUGIA, LJ
BILLINGE, SJL
XU3, D
JOHNSON4, RL
HOR, TSA
GRIMES, RN
KIM9, SJ
STILLMAN, MJ
FREISER, BS
JOHNSTON5, KP
YAMAGUCHI2, T
VANKOTEN, G
ROZIERE, J
HENSEN, EJM
HIDAI, M
SADLO, J
GAO, EJ
UHL, W
GAILLARD, MJ
CAI1, WP
FERNANDEZ3, B
MELLOCH, MR
ROSZAK, S
BUCHNER, B
SWIHART, MT
WILLETT, GD
YAMAMOTO16, Y
PISSIS, P
SCHEURER, A
TANG5, YJ
BARTLETT2, RJ
GARVEY, JF
JONES1, DJ
KIM17, HJ
SANCHE, L
KHAN2, MI
TEIXEIRA, M
GUCHHAIT, N
MURAKAMI2, J
GRIGORENKO, BL
LIU5, JR
JENTYS, A
WANG20, XY
JUPILLE, J
CHEN3, XM
KANAYAMA, T
CROOKS, RM
MUKERJEE, S
WU, LX
SCUSERIA, GE
DEVLIN2, JP
SZCZESNIAK, MM
CLIFFEL, DE
STROUSE, GF
BERNHARDT, R
PATTERSON, HH
BALBUENA, PB
MICHAELIDES, A
JONES5, R
HARVEY4, PD
LIU16, H
TENNE, R
JANIAK, C
FELKER, PM
PANG2, SJ
FUENTEALBA, P
HEBER, O
CAROTENUTO, G
MACLACHLAN, MJ
HACKETT, PA
ANDERSON3, SL
ARONOW, BJ
DESBAT, B
HITCHCOCK, PB
POMBEIRO, AJL
RESASCO, DE
FRIEDRICH1, T
LUNEAU, D
KAY, BD
SIMEONOV, V
ZEWAIL, AH
GREINER4, W
REIHER, M
MIYASAKA, H
WU1, KC
ZHAO, GF
KIM7, CS
SILVA2, SRP
HARTL1, F
KUANG2, XY
HILLIER, IH
NARUMI, K
GONZALEZELIPE, AR
COHEN3, RE
PUDDEPHATT, RJ
WILD, DA
LOPEZQUINTELA, MA
CALZAFERRI, G
YUDASAKA, M
WILLNER2, I
MILNE, WI
LUKEHART, CM
LI37, H
HUH, SH
RAJH, T
ZHANG5, JZ
CHEN1, DA
RODUNER, E
KREIBIG, U
NOMIYA, K
YAMAMOTO12, K
CURTISS2, LA
UOSAKI, K
ROTELLO, VM
MOLLER1, W
MAGRUDER, RH
RUSSO2, N
HWANG2, BJ
VUL', AY
WHALEY4, KB
YABANA, K
VEITH, M
OHTA6, T
XIA2, YY
BOCCUZZI, F
SAENGER, W
LIZZIT, S
ANUFRIENKO, VF
YAKIMOV, AI
LIMAOVIEIRA, P
ZHENG2, ST
ENTEL, P
HE, SG
URBASSEK, HM
JACOBS1, G
CHALASINSKI, G
PENG3, XG
SHERRILL, CD
MOISEEV1, II
KIWI, J
TAN, DL
PETROFF, F
LUCOVSKY, G
O'HAIR, RAJ
STIETZ, F
WEAVER2, JH
PINO, GA
LEFRANT, S
LIU6, CW
MAYE, MM
CHENG1, HS
LUCCHESE, RR
SHIBAHARA1, T
CHOI2, SC
SHIOMI, D
MOULIJN, JA
HANCOCK, JF
BECKER1, JA
WIRICK, S
ECHENIQUE, PM
SPRINGBORG, M
STEMMLER, TL
MICHALIK, J
ERNST2, WE
MURRELL, JC
WEINSTOCK, IA
CIZEK, J
FEHLNER, TP
CLEMMER, DE
ZHANG4, HJ
O'BRIEN, P
ZHANG56, L
REIFENBERGER, R
GALLEGO, LJ
CARDINAL, T
MANFAIT, M
BRITT2, RD
LI11, XJ
KURMAEV, EZ
CHEN4, KJ
YOSHIIE, T
RICOLLEAU, C
ERKOC, S
MADEY, TE
JIANG2, FL
POSTAWA, Z
HASEGAWA2, M
PASYNSKII, AA
WU5, XT
JAEGER2, NI
KATZ2, J
LAASONEN, K
BAWENDI, MG
DAVIS, BH
WU5, HS
SCHLAPBACH, L
ANDRES2, RP
LAGUNA, A
WANG, EK
BROGLIA, RA
KULKARNI4, GU
NAKANO6, T
YAMAGUCHI16, T
YANG40, J
POMPE, W
ZHANG2, PP
AOKI4, T
GAILLARD, J
ELGUERO, J
LIMTRAKUL, J
SPERR, P
ZHANG16, L
BRONSTEIN, LM
SOLA2, M
GOUZERH, P
ROBERTSON, EG
SUSSFINK, G
ALVAREZ2, S
DASILVEIRA2, EF
VIGGIANO, AA
ITO17, T
LERCHER, JA
BITTENCOURT, C
NETZER, FP
ISMAGILOV, ZR
RIERA, V
FUESS, H
HIPPLER, R
TANASE, T
PARISE, JB
MCKELLAR, ARW
ZHANG3, FS
SATO29, K
PIRANI, F
VOTH, GA
NISHINA, Y
SCHLEMMER, S
EBERLIN, MN
KOLB3, DM
LU2, WC
KOU2, Y
MARTORANA, A
JAGER3, W
SINNOTT, SB
OURA, K
LIU10, HF
MANNINEN2, M
SHIMIZU4, K
CAPTAIN, B
YANG11, SH
SATTA, M
CARDENAS1, G
DICKSON, RM
DLUZEWSKI, P
SHI2, QZ
FAENOV, AY
TREMEL, W
PRAWER, S
SHUH, DK
MOSZYNSKI, R
ZAHN3, DRT
GADRE, SR
SEKI1, T
TSUKERBLAT, BS
ZACHARIAS, M
HAGELBERG, F
SALVAREZZA, RC
MARCELLI, A
HARDACRE, C
WILLIAMS2, ER
FELTEN, A
BOGDANCHIKOVA, N
CHEN43, Y
BELLONI, J
BRUCKNER1, A
LIFSHITZ1, E
XU12, X
LIPKOWSKI, J
DING2, XL
MICHELY, T
CHI3, Y
PELLIN, MJ
SAALFRANK, RW
CORMA, A
