LEE2, TR
MIASKOWSKI, C
D'AURIA, L
LI16, XH
MARINACCI, C
ROVERI, N
ELBOURNE, D
DMITRUK2, IM
HERNDL, GJ
FOCSA, C
PANELLA, M
KANG, JY
WEGSCHEIDER, K
SIVARAMAKRISHNAN, S
MURUGAVEL, R
ANGELESCHAVEZ, C
KUBICKI, M
REMACLE, F
CAO1, XB
GRIMME, S
BASIUK, VA
ALIAGA, AE
TRUBNIKOV, DN
BHARADWAJ, PK
LADUCA, RL
ALLENDORF, MD
GRZYBOWSKI, BA
CHANG1, CS
EON, JG
GREY3, CP
MIZUNO2, N
LEE15, C
PRATSINIS, SE
JUNK, PC
TSUKRUK, VV
LEE, KP
LI7, YD
FROMM, KM
MAVRIDIS, A
GIESTER, G
YANG3, JC
SHIRAHATA, N
PATI1, SK
CAMBI, A
LI15, M
KHYZHUN, OY
BRANDT, U
LEK, S
ROSSI1, R
LU2, XH
YOON, SG
RAOULT, D
PAZ, FAA
DEWITH, G
SALOME, M
DATTA2, A
GHIGNA, P
HARA2, S
LI15, Y
DIKANOV, SA
BURNS3, PC
DEGRAVE, E
RODE, AV
WATANABE3, A
SHIVAPRASAD, SM
SCRIMIN, P
NOZAKI, S
BRODSKAYA, EN
SCILLETTA, C
WAGNER4, T
KOTHARI2, DC
GOEDECKER, S
TOMA, HE
SHAIK, S
LESZCZYNSKI, M
ARIGA, K
JULVE, M
ROPKE, G
GILLEN, G
DAEMEN, LL
DUBIEL, M
ZHENG2, YD
MELONI, G
JANA1, AD
WELLER1, AS
GUVENC2, ZB
ZHANG2, DJ
BURGHAUS, U
MELLA, M
PEKOV, IV
BENLAKHDAR, Z
OTTAVIANO, L
BURKHARDT, JK
SCOTT, RWJ
KRIVENTSOV, VV
PEREZTIJERINA, E
LANG, ES
PENADES, S
ZHOU2, CG
BOLTON2, K
POUCHAN, C
CAMINATI, W
ZOPPELLARO, G
CABRAL, BJC
MITZEL, NW
LUO3, MF
SHLEEV, S
GANEEV, RA
SACCOROTTI, G
SHIELDS, GC
BRAAMS, BJ
JIN2, GX
ROY2, PN
HALLER6, GL
VIAU, G
ALKORTA, I
DRIESS, M
LIU4, SX
DEHNEN, S
PARK13, J
RIPMEESTER, JA
MINAR, J
TOUROVA, TP
TRUSHIN, YV
DEROSSI, S
EICEMAN, GA
WAN, CC
RAYBAUD, P
VERYOVKIN, IV
ALLARA, DL
LEE21, CH
LI39, L
HEO, NH
CAO3, R
DINIA, A
MITRIC, M
EBERT2, H
LLORET3, F
SREEDHAR, B
STEPANOV1, AL
SHIEH, M
SANCHE, L
HUMPHREYS, CJ
STILLMAN, MJ
SCHEURER, A
PATTERSON, HH
CHEN3, XM
BALBUENA, PB
MACKENZIE1, SR
HARVEY4, PD
REIHER, M
WU1, KC
MEI, LM
DUBCEK, P
FUENTEALBA, P
ZHAO, GF
FRIEDRICH1, T
WILLNER2, I
RODUNER, E
MARIN, DV
NOMIYA, K
YAMAMOTO12, K
UOSAKI, K
ROTELLO, VM
LOPEZQUINTELA, MA
LI7, YL
NARUMI, K
MULVANEY, P
STEMMLER, TL
TAN, DL
MITSUI2, M
ZHENG2, ST
TERRONES, M
LIU6, CW
PENG3, XG
HANCOCK, JF
SHERRILL, CD
CHENG1, HS
DECURTINS, S
KIWI, J
HE, SG
WIRICK, S
ZHANG4, HJ
O'BRIEN, P
MANFAIT, M
KATZ2, J
WU5, HS
GHOSH13, S
NAKANO6, T
ZHANG56, L
ERKOC, S
DASILVEIRA2, EF
VIGGIANO, AA
ZHANG16, L
HIPPLER, R
MOLARD, Y
ELGUERO, J
ZHANG3, FS
DICKSON, RM
SHI2, QZ
FAENOV, AY
FELTEN, A
WILLIAMS2, ER
VOTH, GA
ETCHEBERRY, A
PANTELIDES, ST
LU2, WC
KOU2, Y
CAPTAIN, B
KREBS3, C
NORDLANDER, E
LIU24, P
GAO14, F
MAO, BW
MELDRUM, A
MAJUMDER1, C
DIEBOLD, U
MOBIN, SM
SCHENTER, GK
CHENG4, P
MUKHERJEE4, T
PETERS, JW
ZHANG11, P
GERHARDS, M
LINDAHL4, PA
RICHMOND2, MG
PARLEBAS, JC
WANG3, YY
CANUTO, S
FONTECAVE, M
ASCENCIO, JA
SCHMITT2, M
WANG61, X
DOU, JM
LEE16, SH
SHON, YS
SVERGUN, DI
ZIEMANN, P
CHU1, PK
MOROKUMA, K
BARAT, M
CAMPBELL1, CT
SZALEWICZ, K
NOJIRI, H
MA2, JF
WANG9, JL
ZHANG7, YF
NEMUKHIN, AV
OSSI, PM
KAMBA, S
KRYLOV1, AI
TRUHLAR, DG
VALERI, S
TUROV, VV
CRISTIANO, F
CHAKI, NK
YOU4, XZ
XU1, ZZ
PANDEY3, R
DUPONT2, J
TAKAOKA, GH
SECHERESSE, F
FASSLER, TF
LAURITSEN, JV
BACIC, Z
LIN3, IN
KOSTER, AM
DUNSCH, L
RAMAKER, DE
FELIX2, C
ILA, D
SANCHEZ1, C
FINK2, D
BERNHARDT1, TM
FAN3, KN
BERNSTORFF, S
DAU, H
PANIGRAHI, BK
DVURECHENSKII, AV
SCHWEIKERT, EA
BARCARO, G
VANTOMME, A
WANG12, XS
YE2, GX
HWANG2, NM
BEYER, MK
YANG4, YH
NOZUE, Y
LIAO, DZ
LUO4, YH
MILLER4, MK
DONG2, SJ
BRODERICK, JB
BOSTEDT, C
CHEN3, SW
VANSLAGEREN, J
PHILIP2, R
LI54, Y
NIELSEN1, SB
DUSTIN, ML
BORDIGA, S
CORAIN, B
XU7, Q
UGALDE, JM
MEBEL, AM
BAIKER, A
KANHERE, DG
FUKUZUMI, S
WEYHERMULLER, T
BORONIN, AI
AHMED5, M
FUJII4, A
KING2, RB
ALVES2, E
MASCHER, P
ZHAO5, B
DELGADOBARRIO, G
RAPTOPOULOU, CP
BROWN1, SA
MORI4, H
INOUE6, A
ABBATE, M
HVELPLUND, P
REEDIJK, J
KUMAR14, R
VEHKAMAKI, H
QIANG, Y
OOMENS, J
GARRIDO2, B
ELSHALL, MS
GEDANKEN, A
GAO7, S
VILESOV, AF
LEE3, YT
MARX1, D
STIENKEMEIER, F
TUOMISTO, F
LAMBERTI, C
KIM31, JH
YANG2, GY
PETZELT, J
COMPAGNINI, G
LONGO, E
VILLARREAL, P
BAO2, XH
HARUTA, M
ARBIOL, J
MUCKLICH, A
KORTZ, U
KIM28, S
ZAPOROJTCHENKO, V
AGREN, H
RIZK, R
GODDARD4, WA
MULLERDETHLEFS, K
FINKE, RG
INOKUCHI, Y
WANG5, JP
WINPENNY, REP
HAUMANN, M
SELLMYER, DJ
NAIR2, KGM
GRUNERT, W
IMAHORI, H
STEPANYUK, VS
BOWMAN, JM
HALBERSTADT, N
RADEMANN, K
CHEN23, H
CEDERBAUM, LS
TSUNOYAMA, H
ARMENTROUT, PB
CUI2, XB
MARROT, J
VOLODIN, VA
NIU, JY
BABONNEAU, D
SCHWERDTFEGER, P
FORTUNELLI, A
DUPUIS2, V
TANG, ZC
CORDIER, S
BINNS, C
AVASTHI, DK
PHILIPPOT, K
NORDLUND, K
OZKAR, S
HENRY2, CR
MATOLIN, V
SIRONI, A
GOLBECK, JH
SCHRODER2, D
GIANTURCO, FA
FIERRO, JLG
KIM9, D
VEGA2, A
TAY, BK
SOKOLOV, MN
VANDUIN, ACT
ANSON, CE
FAUPEL, F
AKITA2, T
SCHNOCKEL, H
HOU1, HW
SCHATZ6, GC
RODRIGUEZ4, JA
LEE7, HM
SOMORJAI3, GA
PERLEPES, SP
PAKKANEN, TA
TOYODA2, N
LEUTWYLER, S
MIKAMI, N
GARRISON3, BJ
KENNEDY, JD
SHINOHARA4, H
DOPFER, O
SUN2, CC
GOURBILLEAU, F
HAUKKA, M
JIN1, RC
RUHL, E
ADAMS7, RD
FRENKEL, AI
FIELICKE, A
LEE3, JF
PENG2, J
SPIEGELMAN, F
MIZOKAWA, T
AROMI, G
XU, JQ
CRONIN2, L
FEDIN, VP
SUHM, MA
BESENBACHER, F
EBATA, T
KIM10, SK
DIXON5, DA
HU2, CW
JOSEYACAMAN, M
KLOPPER, W
MEIWESBROER, KH
LONG1, DL
OHNO2, K
SU3, ZM
JANSSENS, E
LANG, JP
KIELY, CJ
REINHARD, PG
SCHWARZ, H
HUANG2, RB
CHAUDRET, B
LESZCZYNSKI, J
CORNIA, A
GERBER4, RB
FUJII4, M
GROSS, S
PRADEEP, T
D'ACAPITO, F
MEYERKLAUCKE, W
JELLINEK, J
HOFFMAN, BM
KANJILAL, D
MURRAY, RW
IWASAWA, Y
ZHENG2, LS
SCHAEFER7, HF
WINOGRAD, N
VANTENDELOO, G
SKORUPA, W
RHEINGOLD, AL
MUNCK, E
VANSANTEN, RA
HEIZ, U
RAITHBY, PR
SESSOLI, R
KULMALA, M
DELLANEGRA, S
HOBZA, P
NAKAJIMA1, A
VONISSENDORFF, B
KONDOW, T
LI5, YG
POWELL3, AK
HEDMAN, B
JUNGWIRTH, P
YAMADA1, I
JORDAN7, KD
SCHLOGL, R
MELINON, P
