EKERDT, JG
PIRVU, C
ALMASY, L
MIASKOWSKI, C
YESILEL, OZ
BHONDE, RR
CHAUDHARI, A
LEE3, CT
MARINACCI, C
ELBOURNE, D
DMITRUK2, IM
LU5, Y
HERNDL, GJ
SLAUGHTER, LS
MORBIDELLI, M
WEGSCHEIDER, K
EFFERTH, T
LACHGAR, A
SIVARAMAKRISHNAN, S
KUBICKI, M
ANGELESCHAVEZ, C
ALIAGA, AE
KHERANI, NP
ZHAO7, YF
LIU2, CT
BHARADWAJ, PK
GRZYBOWSKI, BA
BONN, M
HAVENITH, RWA
BOUDON, V
MIKOUSHKIN, VM
CHANG1, HT
MITTLER, S
KITRON, U
GREY3, CP
LEE15, C
PRATSINIS, SE
CHORKENDORFF, I
GALEMBECK, F
FROMM, KM
YANG3, JC
SHIRAHATA, N
PATI1, SK
CAMBI, A
FERRANTE, F
LIU2, SJ
YOON, SG
RAOULT, D
DATTA2, A
POTZGER, K
HARA2, S
WATANABE3, A
LI15, Y
TSAI2, AP
BERGER, RJF
SALOME, M
DEGRAVE, E
RODE, AV
SCRIMIN, P
RYSIAKIEWICZPASEK, E
NAVROTSKY, A
KISS, J
GHIGNA, P
BRODSKAYA, EN
WAGNER4, T
KAWASAKI4, H
GOEDECKER, S
SATHYAMOORTHY, R
SHAIK, S
MALERBA, L
BUMA, WJ
PONI, S
LESZCZYNSKI, M
OWEN2, DM
TRETIAK, S
JULVE, M
ROPKE, G
DAEMEN, LL
SUBRAMANIAN9, V
PARK15, JH
WELLER1, AS
ZHANG2, DJ
WANG7, LC
MAYOR, M
BURGHAUS, U
VALLETREGI, M
PEKOV, IV
OTTAVIANO, L
GAUTIER1, R
SHANG, L
LEE14, D
SCOTT, RWJ
MINTOVA, S
NAKAMURA13, T
KIM22, J
WEBER8, T
PEREZTIJERINA, E
LANG, ES
ZHOU2, CG
BOLTON2, K
POUCHAN, C
WEI3, CM
CABRAL, BJC
LI3, SF
LUO3, MF
SHLEEV, S
YOU, WS
OLIVER1, A
TAKAMUKU, T
VIAU, G
ALKORTA, I
DRIESS, M
LIU4, SX
LIVERI, VT
RIPMEESTER, JA
TOUROVA, TP
DEROSSI, S
MORGUNOV, RB
RAYBAUD, P
VERYOVKIN, IV
LI39, L
CHECHIK, V
CAO3, R
DINIA, A
MITRIC, M
BARTH, JV
BRAULT, P
LLORET3, F
SREEDHAR, B
BUCHNER, B
PISAREK, M
JOHNSTON5, KP
SANCHE, L
GRIMALDI2, MG
LESARRI, A
PATTERSON, HH
BALBUENA, PB
HARVEY4, PD
REIHER, M
VANBAEL, MJ
ARONOW, BJ
KOWALSKI1, K
WU1, KC
MUKERJEE, S
FUKUHARA, M
KOLITSCH, A
