STAFILOV, T
MIASKOWSKI, C
BHONDE, RR
XIA3, B
GEBAUER, D
KEATING, J
FORMANEK, P
RICCIARDICASTAGNOLI, P
DOWD, SE
RUCK, M
WANG2, QF
LU1, JM
HERNDL, GJ
KANG, JY
MORBIDELLI, M
ESHTIAGHHOSSEINI, H
DEBRUIN, A
ZHANG6, SH
MIYAMURA, H
GERRITSEN, HC
EFFERTH, T
URASAYTEMIZ, N
SIVARAMAKRISHNAN, S
ZHU8, JJ
COMINI, E
KOOPMANS, M
ALIAGA, AE
JUAHIR, H
WOEBKEN, D
GRZYBOWSKI, BA
CHUA2, DHC
KEENE, TD
MIRZAEI1, M
KHERANI, NP
SOLIMANNEJAD, M
WEI1, ML
CHANG1, HT
MUNIZMIRANDA, M
CHORKENDORFF, I
KITRON, U
GALEMBECK, F
JUKES, MCH
SUN1, SQ
CAI2, JY
EVANGELAKIS, GA
YANG3, JC
HOELZER, DT
PATI1, SK
FERRANTE, F
CHATTARAJ, PK
LIU2, SJ
PICHUGINA, DA
YOON, SG
RAOULT, D
HARA2, S
BERGER, RJF
SCRIMIN, P
FREELAND, JW
RYSIAKIEWICZPASEK, E
LEWINSKI, J
CORIANI, S
DIKANOV, SA
KISS, J
DAI4, S
JUSTYNIAK, I
RUFFINO, F
CHOI, MMF
WAGNER4, T
KAWASAKI4, H
CHEN36, J
GOEDECKER, S
SATHYAMOORTHY, R
WIEDMANN, M
ISHII1, S
OWEN2, DM
TRETIAK, S
CHUKANOV, NV
ROPKE, G
PONI, S
DAEMEN, LL
RUSU, D
SUBRAMANIAN9, V
JANA1, AD
PAN3, JS
TABAYASHI, K
ZHANG2, DJ
SHANINA, BD
BURGHAUS, U
KOBAYASHI4, S
VALLETREGI, M
PEKOV, IV
OTTAVIANO, L
GAUTIER1, R
BURKHARDT, JK
LEE14, D
SCOTT, RWJ
MINTOVA, S
NAKAMURA13, T
RICHTER2, J
LENZ, O
WEBER8, T
ALONSO, JC
LANG, ES
HUANG3, WX
BANARES, L
PENADES, S
KUNZ2, S
BOLTON2, K
ZOPPELLARO, G
SKALA, T
ZHOU2, CG
PEREZTIJERINA, E
SHLEEV, S
GANEEV, RA
YOU, WS
CHRISTIANSON, DW
OLIVER1, A
VIAU, G
DRIESS, M
MANBY, FR
TOUR, JM
LIVERI, VT
RIPMEESTER, JA
MORGUNOV, RB
LI39, L
RAYBAUD, P
CAO3, R
DINIA, A
MITRIC, M
BRAULT, P
LLORET3, F
SREEDHAR, B
BUCHNER, B
JOHNSTON5, KP
KUMMEL, S
GRIMALDI2, MG
GAO, EJ
GUCHHAIT, N
SCHEURER, A
CAROTENUTO, G
BALBUENA, PB
MICHAELIDES, A
FUKUHARA, M
REIHER, M
MACLACHLAN, MJ
MURZIN, DY
KOWALSKI1, K
JANIAK, C
WU, LX
KOLITSCH, A
MUKERJEE, S
ZHAO, GF
POMBEIRO, AJL
CLIFFEL, DE
SAKURAI4, H
KUANG2, XY
RODUNER, E
NOMIYA, K
CURTISS2, LA
UOSAKI, K
NARUMI, K
LOPEZQUINTELA, MA
LIU13, Z
NEUROCK, M
ERNST2, WE
LIMAOVIEIRA, P
ENTEL, P
HE, SG
LIU6, CW
BISKUPEK, J
SIVIERO, F
KHRIACHTCHEV, L
HANCOCK, JF
WIRICK, S
SHERRILL, CD
ZHENG2, ST
SPRINGBORG, M
SADOWSKI, J
KAISER1, U
CIZEK, J
RODRIGUEZFORTEA, A
YANG3, DS
LUCOVSKY, G
YANG1, ML
ZHANG4, HJ
POSTAWA, Z
WANG, EK
MANFAIT, M
BRITT2, RD
KATZ2, J
WU5, HS
GHOSH13, S
KAISER3, RI
NAKANO6, T
ZHANG56, L
MERINO, G
VINAS, C
TOMISHIGE, K
LIMTRAKUL, J
DASILVEIRA2, EF
ZHANG2, PP
ZHANG16, L
VIGGIANO, AA
MOLARD, Y
SOLA2, M
DICKSON, RM
SHI2, QZ
SINNOTT, SB
FELTEN, A
HARDACRE, C
FAENOV, AY
WILLIAMS2, ER
PANG, HJ
KOU2, Y
SHIMIZU4, K
KREBS3, C
LIU24, P
CORMA, A
MAO, BW
GAO14, F
CHEN43, Y
BROWNING2, ND
ZANCHET, D
LIEBER, CM
STEINRUCK, HP
MELDRUM, A
KOSHEVOY, IO
MAJUMDER1, C
DIEBOLD, U
MUKHERJEE4, T
SMITH, RA
DEHOSSON, JTM
KIM11, YS
GERHARDS, M
LINDAHL4, PA
WANG3, YY
ZHONG, CJ
CANUTO, S
ASCENCIO, JA
RICHMOND2, MG
WANG61, X
DOU, JM
LEE16, SH
SVERGUN, DI
CHU1, PK
NOMURA9, M
XU39, Y
SZALEWICZ, K
SPIVEY, JJ
SATSUMA, A
MA2, JF
KLOS, J
SOLOV'YOV, AV
GHORBEL, A
OSSI, PM
TRUHLAR, DG
VALERI, S
YANG24, L
LI4, ZR
TUROV, VV
CRISTIANO, F
TOURNUS, F
YOU4, XZ
TOBIAS2, DJ
PANDEY3, R
DUPONT2, J
STENER, M
TAKAOKA, GH
FASSLER, TF
ZHIDOMIROV, GM
ZOTOV, AV
BACIC, Z
THIEL2, PA
LIN3, IN
LAURITSEN, JV
DUNSCH, L
BURGI, T
ILA, D
REVELES, JU
MURRAY1, KS
WANG49, J
MOUBARAKI, B
NIKIFOROV, AI
PANIGRAHI, BK
ZACCHINI, S
DVURECHENSKII, AV
ZHANG55, H
SARANIN, AA
SCHWEIKERT, EA
BARCARO, G
SKOMSKI, R
STESMANS, A
SARMA4, DD
LI10, QS
BEYER, MK
YE2, GX
LUO4, YH
SANUDO, EC
HWANG2, NM
MIYAZAKI3, M
SMITH6, R
YANG4, YH
GONG3, XG
NOZUE, Y
MILLER4, MK
MILLER5, RE
BRODERICK, JB
MCMURRY, PH
CHEN6, L
DENIFL, S
LI54, Y
CHEN3, SW
DUSTIN, ML
BORDIGA, S
WIEGHARDT, K
GAVEAU, MA
CORAIN, B
XU7, Q
REN, ZG
BRUDVIG, GW
BAIKER, A
KANHERE, DG
FUKUZUMI, S
WEYHERMULLER, T
BORONIN, AI
DELGADOBARRIO, G
FUJII4, A
LIZMARZAN, LM
AHMED5, M
KUBIAK, CP
BROWN1, SA
QIANG, Y
INOUE6, A
ABBATE, M
KUMAR14, R
VEHKAMAKI, H
GARRIDO2, B
