KIOUSSIS, N
RUSSO2, SP
MATULIS, VE
ZHAROV, VP
TEMUSSI, PA
SNOOK, IK
RATTEI, T
YAGHI, OM
AYYUB, P
LUDASCHER, B
SCHELLY, ZA
MOON, BK
HEMLEY, RJ
WYSLOUZIL, BE
MCFARLAND, EW
GERWERT, K
ANGELESCHAVEZ, C
MILA, F
BHARADWAJ, PK
HUANG4, HC
LAI, SK
LOVEJOY, ER
ALLEN2, HC
DISALVO2, FJ
JOZIC, D
LINK, CL
MCCOMB, D
CHANG1, CS
XUE1, CJ
MULLER, WEG
MITTLER, S
SPIRKOVA, M
MUNIZMIRANDA, M
FINSTAD, TG
ASHBURN, P
MIZUNO2, N
WANG6, HP
LEE, KP
DONG, TY
SEARSON, PC
SUZER, S
BABONNEAU, F
YANG3, JC
HIRAO13, K
LI15, M
LEK, S
CORKUM, PB
KULKARNI, AD
LI, PL
SANYAL, MK
PAZ, FAA
MCVITIE, S
BINETTI, S
SHIVAPRASAD, SM
SCRIMIN, P
PUNTONET, CG
BRODSKAYA, EN
CHEN36, J
ROTHENBERG, G
WIEDMANN, M
SHAIK, S
TSONG, TT
FRUMAR, M
JULVE, M
FELDMANN, J
TANNENBAUM, R
CHEN4, CL
WU4, ZJ
DAHL2, LF
ANDRES3, J
ZHIGILEI, LV
GUVENC2, ZB
FORREY, RC
O'CONNOR3, CJ
MIRODATOS, C
PERTICI, P
BURGHAUS, U
MELLA, M
BENLAKHDAR, Z
RUIZ, V
SEMINARIO, JM
GALLI3, G
REN5, F
LANG, ES
FETTINGER, JC
BOLTON2, K
SHARMA4, J
DEMUNCK, JC
TOBE, Y
PAPAKONSTANTINOU, P
KAWAI4, T
SHLEEV, S
MENON5, M
JIN2, GX
SACCOROTTI, G
SHIELDS, GC
LIU56, J
MILCHBERG, HM
ROY2, PN
SHPAK, AP
JIANG2, CZ
TOUROVA, TP
DEROSSI, S
EICEMAN, GA
LEE3, YP
WANG6, CM
CHECHIK, V
LI34, W
NYMAN, M
LLORET3, F
WANG8, CC
LEE21, CH
DECOLA, L
VANKOTEN, G
KATIYAR, RS
BECUCCI, M
SWIHART, MT
STEPANOV1, AL
LI21, Q
HENSEN, EJM
SHIEH, M
FERNANDEZ3, B
OH3, SJ
BILLINGE, SJL
SANCHE, L
UHL, W
KIM9, SJ
SYMES, DR
ROSZAK, S
CHEN3, XM
SHOKES, JE
PAL5, U
BALBUENA, PB
ARONOW, BJ
GOSELE, U
YAN1, SP
SIMEONOV, V
SAVIOT, L
REIHER, M
GIORGI, R
KANAYAMA, T
CROOKS, RM
WU1, KC
SHUTTHANANDAN, V
GREINER4, W
STROUSE, GF
LI7, YL
KIM7, CS
WHALEY4, KB
WILLNER2, I
RODUNER, E
SILVA2, SRP
YAMAMOTO12, K
ROTELLO, VM
VERDAGUER1, M
SMIRNOV6, VV
LOPEZQUINTELA, MA
TIAN1, WQ
SUH, BJ
NOMIYA, K
XIE3, SS
ANUFRIENKO, VF
YUDASAKA, M
LIMBACH, HH
MCINTYRE1, GJ
MITSUI2, M
ENTEL, P
TERRONES, M
LIU6, CW
HANCOCK, JF
ZHENG2, ST
CHENG1, HS
CHIHARA, T
KIWI, J
SPRINGBORG, M
KATZ2, J
WU5, HS
DASILVEIRA2, EF
POMPE, W
FUESS, H
HIPPLER, R
ELGUERO, J
LERCHER, JA
ZHANG3, FS
DICKSON, RM
SATO29, K
SCOPELLITI, R
MARTORANA, A
BERNSTEIN4, ER
NAGASHIMA1, Y
JAGER3, W
PIRANI, F
LIU10, HF
LU2, WC
KOU2, Y
SAITO7, H
CAPTAIN, B
HYODO, T
SHIMIZU4, K
LEONE2, SR
MAO, BW
LIEBER, CM
SINGH2, F
HOSMANE, NS
MAGUIRE, JA
PASTOR2, GM
EHARA1, M
SCHENTER, GK
MUKHERJEE4, T
KAUZLARICH, SM
NAKATSUJI2, H
LONGO1, A
ZHANG, QE
DEHOSSON, JTM
RICHMOND2, MG
LI11, C
WANG3, YY
IIJIMA2, S
ASCENCIO, JA
SCHMITT2, M
FEMONI, C
SHON, YS
WANG61, X
MIOTELLO, A
SPERANZA, M
LEE16, SH
GERTHSEN, D
ZIEMANN, P
SZALEWICZ, K
KUBOTA3, T
CHU1, PK
NOJIRI, H
KOBAYASHI9, Y
SATSUMA, A
STELLACCI, F
MA2, JF
SOLOV'YOV, AV
STOLL3, H
KUMAR13, V
KAMBA, S
TRUHLAR, DG
NEMUKHIN, AV
OELHAFEN, P
YANG24, L
FUKE, K
CRISTIANO, F
DUPONT2, J
CHAKI, NK
YOU4, XZ
PANDEY3, R
CALLANAN, LH
LAURITSEN, JV
BACIC, Z
KOSTER, AM
RAMAKER, DE
FELIX2, C
ILA, D
SANCHEZ1, C
FINK2, D
FAN3, KN
DUNSCH, L
DAU, H
NIKIFOROV, AI
PANIGRAHI, BK
DVURECHENSKII, AV
SHAM, TK
VIJAYAMOHANAN, K
CLAEYS2, M
VANTOMME, A
AGUILERAGRANJA, F
WANG12, XS
YE2, GX
LUO4, YH
POMOGAILO, AD
FERRANDO, R
HWANG2, NM
SMITH6, R
LIAO, DZ
MILLER5, RE
TANAKA2, I
DONG2, SJ
CHEN3, SW
DUSTIN, ML
MARINE, W
