HEINTZ, A
LEE3, CT
MARINACCI, C
HARANATH, D
LUDASCHER, B
AYYUB, P
WEGSCHEIDER, K
MOON, BK
HEMLEY, RJ
MULLER2, R
MURUGAVEL, R
MCFARLAND, EW
KOMPITSAS, M
DENG1, YQ
WIECKOWSKI, A
ANGELESCHAVEZ, C
CHANG1, CS
SHI, MG
LYUBOVSKAYA, RN
ALLENDORF, MD
HAGEMAN, PR
GRZYBOWSKI, BA
LAI, SK
EON, JG
SPIRKOVA, M
ASHBURN, P
MIZUNO2, N
LEE15, C
JANSEN3, G
LEE, KP
LEIVA2, EPM
SEARSON, PC
SUZER, S
BABONNEAU, F
GIESTER, G
YANG3, JC
HIRAO13, K
LI15, M
PATI1, SK
LEK, S
RONNING, C
BAKO, I
CORKUM, PB
RAOULT, D
PAZ, FAA
DATTA2, A
LI15, Y
MATXAIN, JM
BURNS3, PC
RODE, AV
SHIVAPRASAD, SM
SCRIMIN, P
DIKANOV, SA
BRODSKAYA, EN
SCILLETTA, C
LOBANA, TS
KOTHARI2, DC
GOEDECKER, S
ROTHENBERG, G
SHAIK, S
WU4, ZJ
LESZCZYNSKI, M
ARIGA, K
ROPKE, G
DAEMEN, LL
TANNENBAUM, R
DUBIEL, M
MELONI, G
THOMANN, R
GUVENC2, ZB
ZHANG2, DJ
O'CONNOR3, CJ
BURGHAUS, U
MELLA, M
BENLAKHDAR, Z
OTTAVIANO, L
KHATRY, SK
RUIZ, V
BURKHARDT, JK
LEE9, HM
KRIVENTSOV, VV
BERTINO, MF
REN5, F
LANG, ES
ANTONY3, J
BERBEZIER, I
BOLTON2, K
DEMUNCK, JC
POUCHAN, C
CABRAL, BJC
LI3, SF
ROLO, AG
MITZEL, NW
LUO3, MF
SHLEEV, S
SACCOROTTI, G
SHIELDS, GC
BREDOW, T
JIN2, GX
CHEN18, L
ROY2, PN
HALLER6, GL
ALKORTA, I
MULLEN2, K
JIANG2, CZ
YAMASE, T
DEHNEN, S
TOUROVA, TP
GUPTA, NM
HEO, NH
TRUSHIN, YV
DEROSSI, S
EICEMAN, GA
VERYOVKIN, IV
ALLARA, DL
LI39, L
RAYBAUD, P
NYMAN, M
WANG8, CC
LEE21, CH
SREEDHAR, B
KATIYAR, RS
SWIHART, MT
STEPANOV1, AL
SHIEH, M
VORLICEK, V
OH3, SJ
BILLINGE, SJL
SANCHE, L
TEIXEIRA, M
KIM9, SJ
SYMES, DR
SCHEURER, A
CHEN3, XM
BALBUENA, PB
GOSELE, U
GIORGI, R
CAROTENUTO, G
WU1, KC
MUKERJEE, S
SIMEONOV, V
GREINER4, W
FRIEDRICH1, T
DRESSEL, M
VUL', AY
RODUNER, E
SILVA2, SRP
NOMIYA, K
YAMAMOTO12, K
UOSAKI, K
ROTELLO, VM
NARUMI, K
MOLLER1, W
SMIRNOV6, VV
TIAN1, WQ
LIZZIT, S
YUDASAKA, M
ROZES, L
LOPEZQUINTELA, MA
MITSUI2, M
FAYETON, JA
ZHENG2, ST
