coauthor;frequency
6;1
7;3
8;1
9;2
10;4
11;2
12;6
13;9
14;4
15;6
16;8
17;6
18;5
19;5
20;6
21;10
22;8
23;6
24;7
25;6
26;2
27;8
28;6
29;4
30;2
31;6
32;7
33;1
34;7
35;7
36;6
37;6
38;7
39;3
40;5
41;2
42;5
43;7
44;2
45;3
46;5
47;5
48;1
49;6
50;1
51;5
52;3
53;3
54;4
55;4
56;1
57;3
58;3
59;1
61;1
62;2
63;1
64;1
65;2
66;5
67;4
68;1
69;4
71;1
72;5
73;1
74;1
75;4
76;1
77;2
78;3
79;1
81;1
82;1
83;3
84;2
86;1
88;2
89;2
90;1
93;1
94;2
95;2
97;1
99;1
100;2
101;1
102;1
103;2
107;1
111;1
118;1
122;1
123;1
125;1
127;1
130;1
144;2
145;1
245;1
