KOILLER, B
BARRIE, PJ
FOREMAN, AJE
HENGLEIN, A
BARTELL, LS
JOUANNEAU, Y
UCHIHARA, T
MCELVANY, SW
STEIGERWALD, ML
MARKERT, JT
BERTOLINI1, JC
HERMAN1, M
KAINDL, G
HAWKINS, AR
BARU, VG
KEISTER, JB
LENTZ, D
YAM2, VWW
GADENNE, P
KOINUMA, H
DEPRISTO, AE
PETTERSSON, JBC
BENJACOB, E
BATAIL, P
TOPP, MR
SATO27, K
MOROOKA, Y
KNOZINGER, E
RENGER, G
SUNDGREN, JE
FURRER2, A
MORSE4, MD
BIANCHINI, C
BALASUBRAMANIAN6, K
LOEHR, TM
DEMTRODER, W
GRAHAM, WRM
KROTSCHECK, E
MCCARLEY, RE
VANDENOETELAAR, LCA
MARTIN3, JML
CALAWAY, WF
SCAZZOCCHIO, C
TSONG, TT
BLOOMFIELD, LA
COMSA, G
BERTRAN, E
NIELSEN2, B
BALOOCH, M
GERBER3, G
MARTIN4, TP
FUCHS2, H
SANZ, JF
MULLER2, JF
PETTENKOFER, C
SHI2, S
FEE, JA
KIRITANI, M
ORO, LA
MENON5, M
FREEMAN1, AJ
PIGNOLET, LH
HAINFELD, JF
FARIZON, M
ESTREICHER, SK
MALRIEU, JP
BENNEMANN, KH
PARIS1, E
ROZIERE, J
STEGGERDA, JJ
FREISER, BS
JONES1, DJ
GARVEY, JF
GAILLARD, MJ
HOR, TSA
HIDAI, M
BASSET, JM
GRIMES, RN
FELKER, PM
RISBUD, SH
ZEWAIL, AH
HACKETT, PA
HOSSAIN2, MM
WOODALL, JM
FADLEY, CS
ANDERSON3, SL
LAHMANI, F
SHAPLEY, JR
PUDDEPHATT, RJ
COHEN3, RE
SAENGER, W
SEFF, K
WEAVER2, JH
LEFRANT, S
MOISEEV1, II
BECKER1, JA
CHOI2, SC
FEHLNER, TP
SHIBAHARA1, T
BROGLIA, RA
JAEGER2, NI
ANDRES2, RP
SCHMIDT3, R
MEYER5, J
BAWENDI, MG
ITO17, T
RIERA, V
TREMEL, W
ZAHN3, DRT
SHUH, DK
OURA, K
KOLB3, DM
NISHINA, Y
MANNINEN2, M
TSUKERBLAT, BS
PELLIN, MJ
GIARDINIGUIDONI, A
SCHLAG2, EW
GEORGE2, GN
CHI3, Y
SHIROMARU, H
WANDELT, K
CAMMACK, R
KROTO, HW
SCOLES, G
LIFSHITZ2, C
RICHMOND2, MG
TERZIS, A
PILENI, MP
ALIVISATOS, AP
NAZARE, MH
KANATZIDIS, MG
SATYANARAYANA, CVV
STOLL3, H
DEMANGEAT, C
RAO2, CNR
TRAGER, F
SCHMIDBAUR, H
ROSSELL, O
SECO, M
YIN2, YQ
ADAMOWICZ, L
MCMAHON2, TB
HASHIZUME, T
BAUMGARTEL, H
SONG3, LC
HAKANSSON2, P
HU, QM
MAKSIMOV1, YV
SHRIVER, DF
OSELLA, D
TAKEO, H
ZUBIETA, J
CHELIKOWSKY, JR
MCGLINCHEY, MJ
SCHULZEKLOFF, G
NEUSSER, HJ
SALAHUB, DR
OHASHI1, K
HONG1, MC
UEDONO, A
DEXPERT, H
ACHIBA, Y
ROSEN3, A
PREDIERI, G
KASUYA, A
SPIEGELMANN, F
SIMON8, A
BUKHTIYAROV, VI
MIYAMOTO2, A
SKELTON2, BW
WHITE, AH
PENSL, G
PENNERHAHN, JE
MINGOS, DMP
BAIKER, A
RYOO, R
HVELPLUND, P
YANOVSKY, AI
DOLGUSHIN, FM
MORI4, H
VASAK, M
BAUMER3, M
LEWIS2, J
KOTANI1, A
BRAGA2, D
PETTERSSON1, LGM
PENG3, SM
ZWIER, TS
DAVIES1, G
SCHERMANN, JP
MAIER2, JP
