SELDIN, L
PECHT, I
COUSENS, S
NIELSEN1, EM
LIPUMA, JJ
SHINKAI, S
KANG, ET
TRYGGVASON, K
FURUYA2, K
KRESS, JD
IWAKI, M
KELLEY2, DF
ARCHIBONG, EF
FALARAS, P
ORTIZ1, JV
WRIGHT1, DW
DEWHIRST, FE
BOYLE1, TJ
BARBOLLA, J
HEMLEY, RJ
MULLER2, R
BASIEV, TT
WISTOW, G
GOODACRE, R
BRONGERSMA, HH
MILCHEV, A
KIM5, DY
TSAPATSIS, M
DEVOS1, WM
FREYLAND, W
LITOVCHENKO, VG
EVANS2, DJ
MANGANI, S
BARNABE, C
WANG6, HP
AONO, M
BOKHIMI, X
LIU2, ZF
WANG11, ZG
BIENER, J
FOTAKIS, C
CHEN2, ZD
JUG, K
LARIA, D
VOGTLE, F
VONPLESSEN, G
ZELLAMA, K
ZHANG6, ZJ
GRODZICKI, M
HOLT, C
OSAKA2, T
SLUTSKER, L
MAGON, CJ
PEARTON, SJ
BERTOTI, I
MEIJERINK, A
DOLL1, JD
KIM8, DY
SAHU1, SN
RIEDER, KH
CHEN36, J
DESCHRYVER, FC
JACOBSEN1, C
ZANDVLIET, HJW
TANNENBAUM, R
SOPER, AK
DAHL2, LF
SUBRAMANIAN9, V
DRAVID, VP
GUVENC2, ZB
NIELSEN2, B
CHARNOCK2, JM
VANSANT, EF
HUTCHISON2, JE
WINNEWISSER, G
FUCHS2, H
GERBER3, G
IVANOVOMSKII, VI
HAQ, S
MIHAILOVA, B
BERTINO, MF
PASSAMANI, EC
LEBODA, R
LUDDEN, PW
FANFONI, M
KAWAI4, T
SCHULZE, W
AKAMATSU2, K
DEMUNCK, JC
GOLDONI, A
VALETSKY, PM
PATTYN, H
KONDO4, K
WERNER1, P
MINGOTAUD, C
MO, O
HOLL1, MMB
SANZ, JF
CHOI6, JH
FREEMAN1, DL
KHOMUTOV, GB
ZVEZDIN, AK
FEREY, G
TAKEUCHI3, T
OSHIMA1, M
DONGARRA, JJ
KAPOOR3, S
ARMSTRONG2, WH
DEKI, S
VIKHNIN, VS
REHN, LE
BUCHER1, JP
TOUROVA, TP
GUPTA, NM
MARCH, NH
GONG1, QH
HAINFELD, JF
PERERA1, RCC
SINGH2, BN
SUN7, YP
WANG6, CM
BELYKH, SF
LIAO1, XB
SWIHART, MT
YAMAGUCHI2, T
BILLINGE, SJL
XU3, D
AVERBACK, RS
HIDAI, M
SIPR, O
UHL, W
CAI1, WP
YAMAMOTO16, Y
PISSIS, P
TEIXEIRA, M
FERNANDEZ3, B
ROSZAK, S
MUSUMECI, P
GRIGORENKO, BL
BERNHARDT, R
BALBUENA, PB
YANEZ, M
PATTERSON, HH
ZEWAIL, AH
GIORGI, R
SHUTTHANANDAN, V
KANAYAMA, T
ARONOW, BJ
CROOKS, RM
