KNORR, K
KHODAYARI, A
EKERDT, JG
LAMBERS, H
SINGLETON, C
STAFILOV, T
ZWARENSTEIN, M
BHONDE, RR
MIASKOWSKI, C
WESEMANN, L
CHAR, K
OSTRIKOV, K
PAULIN, L
OREL, B
KEITEL, CH
CHAUDHARI, A
JAKUBEK, J
KEATING, J
RATTEI, T
FUKIN, GK
D'AURIA, L
LEE3, CT
JIANG3, Q
MARINACCI, C
YANG1, DR
ELBOURNE, D
LUDASCHER, B
RICCIARDICASTAGNOLI, P
DOWD, SE
WIEDENBECK, M
LU1, JM
HERNDL, GJ
SHAO, XG
HERMAN2, M
HAN3, YK
KANG, JY
MORBIDELLI, M
HARMER2, J
DEBRUIN, A
AYYUB, P
WEGSCHEIDER, K
DOBRINDT, U
CAI, WS
MOON, BK
EFFERTH, T
HEMLEY, RJ
CAO1, XB
MORAIS2, PC
ACET, M
MULLER2, R
LACHGAR, A
LOKHANDE, CD
ANGELESCHAVEZ, C
ZHU8, JJ
SZECSENYI, J
GOICOECHEA, JM
KUBICKI, M
REMACLE, F
KOOPMANS, M
KOMPITSAS, M
DENG1, YQ
CHAMPNESS, NR
PREISSER, JS
GRIMME, S
COLLINS, LR
BASIUK, VA
FERRARIS, M
CHANG1, CS
BHARADWAJ, PK
LI29, B
LADUCA, RL
BONN, M
JUAHIR, H
ALLENDORF, MD
WOEBKEN, D
GRZYBOWSKI, BA
KIM2, YT
SOLIMANNEJAD, M
NIU4, L
EON, JG
MIKOUSHKIN, VM
SHVETS, IV
MUNIZMIRANDA, M
MIZUNO2, N
LEE15, C
WANG6, HP
LUBY, SP
JUNK, PC
TSUKRUK, VV
LEE, KP
LI7, YD
GACOIN, T
ZHOU1, NY
KITRON, U
GALEMBECK, F
SEARSON, PC
JUKES, MCH
SUN1, SQ
FROMM, KM
CAI2, JY
LAZZARI, R
ASHBURN, P
EVANGELAKIS, GA
GIESTER, G
BAIA, L
VOSTOKOV, NV
YANG3, JC
PATI1, SK
LI15, M
DRONSKOWSKI, R
BRANDT, U
LEK, S
CHATTARAJ, PK
VANDESANDEN, MCM
CORKUM, PB
SHI1, XY
YOON, SG
RAOULT, D
CORIANI, S
DEWITH, G
DATTA2, A
HAVEL, J
HARA2, S
MARKOVIC, NM
PAZ, FAA
RODE, AV
SHIVAPRASAD, SM
RYSIAKIEWICZPASEK, E
SCRIMIN, P
TILLEY, RD
MAIGNAN, A
LECLERQ, SC
LEWINSKI, J
CHOI, MMF
BLONDEAU, JP
KISS, J
HAFNER4, J
JUSTYNIAK, I
MATXAIN, JM
BRODSKAYA, EN
FREELAND, JW
LEISEROWITZ, L
LIU3, RS
SCILLETTA, C
KAWASAKI4, H
CHEN36, J
KOTHARI2, DC
DAEMEN, LL
ROTHENBERG, G
DUBIEL, M
WIEDMANN, M
SHAIK, S
CHEN2, HC
MALERBA, L
RUSU, D
LESZCZYNSKI, M
TRALDI, P
TOMA, HE
TROUILLET, V
TANNENBAUM, R
ISHII1, S
TRETIAK, S
CHUKANOV, NV
GILLEN, G
RIBEIRO, SJL
PONI, S
JULVE, M
ZHANG11, ZY
GROL, R
LOBANA, TS
SOPER, AK
OWEN2, DM
MELONI, G
ADAMCHUK, VK
SUBRAMANIAN9, V
JANA1, AD
SATHYAMOORTHY, R
VALLETREGI, M
TABAYASHI, K
KUBICKI, JD
GUVENC2, ZB
ZHANG2, DJ
LEE3, JH
O'CONNOR3, CJ
WANG7, LC
BURGHAUS, U
FLYTZANISTEPHANOPOULOS, M
MELLA, M
OSSICINI, S
PEKOV, IV
FORREY, RC
BENLAKHDAR, Z
KHATRY, SK
SAITO4, N
RUIZ, V
BURKHARDT, JK
ANDRES3, J
LEE14, D
LEE9, HM
SCOTT, RWJ
MINTOVA, S
SIGNORELL, R
BERTINO, MF
WEBER8, T
LANG, ES
BANARES, L
PENADES, S
ZHOU2, CG
BOLTON2, K
POUCHAN, C
CAMINATI, W
KUWABATA, S
JARROLD, CC
CABRAL, BJC
FITTING, HJ
SVORCIK, V
PEREZTIJERINA, E
SANZ, JF
GUN'KO1, VM
KLAR3, PJ
KRISHNAMURTHY3, M
MITZEL, NW
MASUHARA, H
LUO3, MF
SHLEEV, S
CHRISTIANSON, DW
CHEN18, L
CARLOS, LD
GANEEV, RA
JIN2, GX
SHPAK, AP
KNECHT, S
SHIELDS, GC
YOU, WS
LARSEN1, AN
MASION, A
ROY2, PN
HALLER6, GL
VIAU, G
ALKORTA, I
DRIESS, M
MANBY, FR
GROSSWENDT, B
LIU4, SX
TOUR, JM
MICHL, J
CAMELIO, S
JIANG2, CZ
BURCH, R
BRITTON, DT
MINAR, J
TOUROVA, TP
WAN, CC
CHAN1, SI
GUPTA, NM
HEO, NH
ZACHARIAH, MR
TRUSHIN, YV
RIPMEESTER, JA
DEROSSI, S
CUENYA, BR
MORGUNOV, RB
NAGAI2, Y
VERYOVKIN, IV
ALLARA, DL
CHECHIK, V
RAYBAUD, P
LIU1, CT
CAO3, R
BRAULT, P
DROZDOV, YN
NYMAN, M
EICEMAN, GA
JIA6, Y
DINIA, A
STAMM2, M
EBERT2, H
LLORET3, F
WANG8, CC
KIM16, SJ
SREEDHAR, B
KATIYAR, RS
BUCHNER, B
TANG5, YJ
SWIHART, MT
BILLINGE, SJL
JOHNSTON5, KP
KUMMEL, S
HENSEN, EJM
KORNILOV, O
SANCHE, L
GRIMALDI2, MG
SHIEH, M
STEPANOV1, AL
TEIXEIRA, M
KUMAR1, CSSR
FINLAYSONPITTS, BJ
SCHEURER, A
GAO, EJ
WU10, D
RESASCO, DE
PATTERSON, HH
CAROTENUTO, G
BALBUENA, PB
MICHAELIDES, A
GOSELE, U
KAY, BD
HARVEY4, PD
REIHER, M
JUPILLE, J
MACLACHLAN, MJ
CHEN3, XM
KOWALSKI1, K
GAPONIK, N
JANIAK, C
WU1, KC
MUKERJEE, S
FRIEDRICH1, T
WU, LX
FUKUHARA, M
FUENTEALBA, P
SIMEONOV, V
ZHAO, GF
POMBEIRO, AJL
GREINER4, W
CLIFFEL, DE
KIM7, CS
WILLNER2, I
KUANG2, XY
SILVA2, SRP
ROZES, L
NOMIYA, K
YAMAMOTO12, K
CURTISS2, LA
UOSAKI, K
RODUNER, E
NARUMI, K
ROTELLO, VM
MOLLER1, W
SMIRNOV6, VV
LOPEZQUINTELA, MA
LI7, YL
YUDASAKA, M
TIAN1, WQ
CHEN1, DA
WILD, DA
MITSUI2, M
DECURTINS, S
NEUROCK, M
ZHENG2, ST
LIMAOVIEIRA, P
MASSIOT, D
ENTEL, P
HE, SG
DELCORTE, A
LIU6, CW
