WALSH6, CT
BENDE, A
KHODAYARI, A
RUDI, K
LAMBERS, H
COUSENS, S
STAFILOV, T
COMBA, P
ZWARENSTEIN, M
BU3, XH
SADOWSKY, MJ
PUGLIA, AM
BHONDE, RR
BOLOGNESI, M
MIASKOWSKI, C
MATZGER, AJ
KIM11, K
STRELKOV, SV
CHAISSON, RE
ASCH, SM
WESEMANN, L
CHAR, K
OSTRIKOV, K
SPROVIERI, M
KINOSHITA3, M
ISHIMASA, T
JINESH, KB
POWER2, PP
OESTERHELT, D
STEHLE, T
JAKUBEK, J
OREL, B
HARANATH, D
KLAASSEN, CHW
KUMACHEVA, E
KELTON1, KF
WANG6, JP
RATTEI, T
FUKIN, GK
LEE3, CT
CHAUDHARI, A
LAVIGNE, C
D'AURIA, L
JIANG3, Q
MARINACCI, C
YANG1, DR
GARCIA1, H
ELBOURNE, D
KANG, JY
LUDASCHER, B
DEBRUIN, A
DOBRINDT, U
DOWD, SE
CHANGCHIEN, GP
FDEZGUBIEDA, ML
WIEDENBECK, M
LU1, JM
HERNDL, GJ
HARMER2, J
SHAO, XG
UKOUMUNNE, OC
GOSLAR, J
MORBIDELLI, M
VERSTRAETE, W
ESHTIAGHHOSSEINI, H
AYYUB, P
WEGSCHEIDER, K
HERMAN2, M
HASSANEIN, A
CAI, WS
GILMORE, IS
ARCHIBONG, EF
MOON, BK
RICCIARDICASTAGNOLI, P
MCEVER, RP
GREENE2, JE
EFFERTH, T
LOKHANDE, CD
LACHGAR, A
SAMOVAROV, VN
HEMLEY, RJ
CAO1, XB
MORAIS2, PC
CENTI, G
CHAKER, M
NOSENKO, VK
GYORGY, E
MULLER2, R
POPELIER, PLA
ZHU8, JJ
MCFARLAND, EW
PERATHONER, S
GOICOECHEA, JM
WISTOW, G
KUBICKI, M
REMACLE, F
HIMMEL, HJ
KOOPMANS, M
SZECSENYI, J
ACET, M
ANGELESCHAVEZ, C
DENG1, YQ
REINHOUDT, DN
CHAMPNESS, NR
PREISSER, JS
PLANINIC, P
GRIMME, S
COLLINS, LR
JU3, SP
FERRARIS, M
MIZOKAMI, M
MILA, F
BHARADWAJ, PK
HUANG4, HC
LI29, B
LADUCA, RL
DAVIS2, J
LYUBOVSKAYA, RN
JUAHIR, H
DISALVO2, FJ
LITOVCHENKO, VG
GRZYBOWSKI, BA
RAVAUD, P
KIM8, HJ
TALWAR, SS
TRUBNIKOV, DN
OKU3, T
MIRZAEI1, M
NIU4, L
CALVIN, S
LAI, SK
WOEBKEN, D
SOLIMANNEJAD, M
ROSENBLUH, M
CHANG1, CS
EON, JG
SANCHEZMADRID, F
RUBLOFF, GW
FREYLAND, W
GREBEL, H
MIKOUSHKIN, VM
MITTLER, S
MULLER, WEG
LIU2, ZF
SHVETS, IV
MUNIZMIRANDA, M
MIZUNO2, N
LEE15, C
SUN1, SQ
BEAUCHAMP, JL
WANG6, HP
GHANBAJA, J
GACOIN, T
CHOI2, WK
TSUKRUK, VV
LEE, KP
CALLEBAUT, I
MANGANI, S
DONG, TY
LI7, YD
NOH2, HJ
ZHOU1, NY
KITRON, U
BUGIEL, E
LEIVA2, EPM
LEE15, JS
LUBY, SP
JUKES, MCH
SUZER, S
FROMM, KM
DELAMORA, JF
CAI2, JY
LAZZARI, R
ASHBURN, P
EVANGELAKIS, GA
VOSTOKOV, NV
SERGEEV, GB
TOLAR, P
ZHENG3, ZP
YANG3, JC
DELPEZZO, E
HIRAO13, K
LI15, M
DRONSKOWSKI, R
VALI, H
SHALABI, AS
BRANDT, U
LEK, S
CHATTARAJ, PK
VANDESANDEN, MCM
RODRIGUEZ4, MA
SPODINE, E
RONNING, C
BERNDT1, C
ALBERTI1, M
MIHAILESCU, IN
CORKUM, PB
DAFFONCHIO, D
SHI1, XY
LIEBANA, E
WEI2, SH
BAIA, L
PAGANI, S
DRUCKER2, J
YOON, SG
RAOULT, D
PAZ, FAA
DEWITH, G
DATTA2, A
MCVITIE, S
MARKOVIC, NM
SHIN5, JH
GRODZICKI, M
WOHLLEBEN, W
HOLT, C
OSAKA2, T
EISELE, FL
SHIVAPRASAD, SM
DAI4, S
RYSIAKIEWICZPASEK, E
BRODSKAYA, EN
LI2, BX
HINDE, RJ
RODE, AV
REVAPRASADU, N
SCRIMIN, P
TILLEY, RD
LEWINSKI, J
HAVEL, J
NEUMULLER, B
BLONDEAU, JP
KISS, J
HAFNER4, J
MARQUES, FC
LIU3, RS
FREELAND, JW
LEISEROWITZ, L
CHOI, MMF
RAMASESHA, S
TSAI2, AP
CHEN36, J
HEJTMANEK, J
KAWATA, S
KAMIGUCHI, S
TOMA, HE
ROTHENBERG, G
WIEDMANN, M
SHAIK, S
FICHTNER1, PFP
JANA1, AD
WU4, ZJ
MALERBA, L
KOTHARI2, DC
TROUILLET, V
SCAZZOCCHIO, C
DAEMEN, LL
TSONG, TT
ISHII1, S
ZABEL2, M
DAMJANOVICH, S
TRETIAK, S
CHAMPAGNE1, B
CHUKANOV, NV
GILLEN, G
PONI, S
JULVE, M
ICHIYANAGI, Y
FELDMANN, J
ZHANG11, ZY
TANNENBAUM, R
VANGRIEKEN, R
ZHENG2, YD
BARBER1, J
TANAKA20, M
SOPER, AK
CHEN4, CL
OWEN2, DM
AIDA, T
DELRIO, I
LEE15, JY
ADAMCHUK, VK
SATHYAMOORTHY, R
PARK15, JH
HARTKE, B
KUBICKI, JD
GUVENC2, ZB
ZHANG2, DJ
MIRODATOS, C
MANGALARAJ, D
LEE3, JH
KUGE, K
LEE14, D
O'CONNOR3, CJ
WANG7, LC
MAYOR, M
BURGHAUS, U
FLYTZANISTEPHANOPOULOS, M
MELLA, M
OSSICINI, S
PEKOV, IV
MEUWLY, M
BENLAKHDAR, Z
VALLETREGI, M
HAHN1, U
AHMAD4, S
KHATRY, SK
WATANABE9, Y
RUIZ, V
BURKHARDT, JK
ANDRES3, J
SIGNORELL, R
LI4, SD
GALLI3, G
LEE9, HM
SCOTT, RWJ
MINTOVA, S
CHEN57, J
CHIODINI, N
